COUNTRY,REGION,YEAR,GOVERNMENT DEBT AS % OF GDP,INDEPENDENCE,LESSTHANONE,DEBT%GDPWINSOR
Algeria,SWANA,1964,29.3,1962,,29.3
Algeria,SWANA,1965,30.6,1962,,30.6
Algeria,SWANA,1966,30.6,1962,,30.6
Algeria,SWANA,1967,29.9,1962,,29.9
Algeria,SWANA,1968,36.1,1962,,36.1
Algeria,SWANA,1969,21.9,1962,,21.9
Algeria,SWANA,1970,40.8,1962,,40.8
Algeria,SWANA,1971,49.5,1962,,49.5
Algeria,SWANA,1972,40.1,1962,,40.1
Algeria,SWANA,1973,40.6,1962,,40.6
Algeria,SWANA,1974,42.2,1962,,42.2
Algeria,SWANA,1975,47.9,1962,,47.9
Algeria,SWANA,1976,55.7,1962,,55.7
Algeria,SWANA,1977,78.7,1962,,78.7
Algeria,SWANA,1978,101.9,1962,,101.9
Algeria,SWANA,1979,91.5,1962,,91.5
Algeria,SWANA,1980,79.1,1962,,79.1
Algeria,SWANA,1981,66.7,1962,,66.7
Algeria,SWANA,1982,68.9,1962,,68.9
Algeria,SWANA,1983,68.8,1962,,68.8
Algeria,SWANA,1984,76,1962,,76
Algeria,SWANA,1985,70,1962,,70
Algeria,SWANA,1986,96.3,1962,,96.3
Algeria,SWANA,1987,107.7,1962,,107.7
Algeria,SWANA,1988,126.1,1962,,126.1
Algeria,SWANA,1989,118.2,1962,,118.2
Algeria,SWANA,1990,106.3,1962,,106.3
Algeria,SWANA,1991,123.5,1962,,123.5
Algeria,SWANA,1992,122.2,1962,,122.2
Algeria,SWANA,1993,132.4,1962,,132.4
Algeria,SWANA,1994,173.1,1962,,173.1
Algeria,SWANA,1995,174.3,1962,,174.3
Algeria,SWANA,1996,146.4,1962,,146.4
Algeria,SWANA,1997,135,1962,,135
Algeria,SWANA,1998,85.2,1962,,85.2
Algeria,SWANA,1999,73.8,1962,,73.8
Algeria,SWANA,2000,68.6,1962,,68.6
Algeria,SWANA,2001,54.6,1962,,54.6
Algeria,SWANA,2002,52.5,1962,,52.5
Algeria,SWANA,2003,49.3,1962,,49.3
Algeria,SWANA,2004,42.5,1962,,42.5
Algeria,SWANA,2005,16.3,1962,,16.3
Algeria,SWANA,2006,4.9,1962,,4.9
Algeria,SWANA,2007,4.3,1962,,4.3
Algeria,SWANA,2008,3.2,1962,,3.2
Algeria,SWANA,2009,3.7,1962,,3.7
Algeria,SWANA,2010,3.2,1962,,3.2
